"DATE","INDPRO","AMTMNO","WHLSLRIRSA","MNFCTRIRSA","ICSA"
1992-01-01,63.3372,NA,1.32,1.66,439000
1992-02-01,63.7864,223500,1.31,1.65,442200
1992-03-01,64.3199,233732,1.31,1.58,429500
1992-04-01,64.8069,238173,1.31,1.57,418250
1992-05-01,65.0202,241916,1.31,1.55,417400
1992-06-01,65.0309,240660,1.32,1.53,418750
1992-07-01,65.6155,238609,1.29,1.54,442750
1992-08-01,65.2948,235633,1.31,1.56,407200
1992-09-01,65.4461,239052,1.3,1.55,417000
1992-10-01,65.9387,242803,1.3,1.56,377800
1992-11-01,66.2219,240286,1.3,1.53,362250
1992-12-01,66.2778,244173,1.33,1.53,339000
1993-01-01,66.565,239924,1.29,1.52,345600
1993-02-01,66.8562,247176,1.29,1.51,338250
1993-03-01,66.7661,245506,1.33,1.51,351000
1993-04-01,66.9976,244703,1.3,1.52,354750
1993-05-01,66.7645,245194,1.28,1.5,343600
1993-06-01,66.8782,249521,1.31,1.5,342750
1993-07-01,67.0843,245765,1.29,1.52,350800
1993-08-01,67.0144,246562,1.3,1.52,341000
1993-09-01,67.3337,245731,1.31,1.5,339000
1993-10-01,67.8513,251656,1.3,1.48,349800
1993-11-01,68.1384,247827,1.3,1.49,341000
1993-12-01,68.5029,250057,1.34,1.48,323000
1994-01-01,68.7602,257125,1.3,1.47,359200
1994-02-01,68.7808,256624,1.31,1.46,348500
1994-03-01,69.4762,257190,1.28,1.46,335750
1994-04-01,69.8715,260006,1.29,1.46,344000
1994-05-01,70.2259,263419,1.3,1.45,359000
1994-06-01,70.6759,267027,1.29,1.45,340000
1994-07-01,70.7851,267694,1.29,1.44,342200
1994-08-01,71.2069,269994,1.27,1.43,336250
1994-09-01,71.4768,270377,1.28,1.44,330250
1994-10-01,72.0827,275087,1.27,1.43,333400
1994-11-01,72.5328,276477,1.28,1.42,328000
1994-12-01,73.2862,282738,1.27,1.39,323200
1995-01-01,73.4173,279692,1.28,1.41,333500
1995-02-01,73.3112,284915,1.27,1.41,337750
1995-03-01,73.4086,282195,1.3,1.44,340250
1995-04-01,73.3603,283370,1.3,1.42,350200
1995-05-01,73.6079,282955,1.3,1.46,370250
1995-06-01,73.8595,281900,1.29,1.45,366250
1995-07-01,73.5675,281269,1.31,1.46,371400
1995-08-01,74.4969,285979,1.3,1.45,356250
1995-09-01,74.7941,293326,1.3,1.43,362000
1995-10-01,74.7015,287568,1.3,1.45,371500
1995-11-01,74.8864,287704,1.29,1.45,377000
1995-12-01,75.1739,297684,1.28,1.41,365000
1996-01-01,74.6833,285822,1.3,1.49,374000
1996-02-01,75.8433,277940,1.29,1.52,377250
1996-03-01,75.7631,298862,1.28,1.45,386400
1996-04-01,76.4596,290320,1.29,1.45,359250
1996-05-01,77.0169,298700,1.29,1.42,344500
1996-06-01,77.6676,299606,1.28,1.41,342200
1996-07-01,77.5653,298909,1.27,1.42,337000
1996-08-01,78.0121,293231,1.26,1.42,331800
1996-09-01,78.5488,302015,1.25,1.41,342750
1996-10-01,78.506,301595,1.25,1.43,339000
1996-11-01,79.1955,309537,1.24,1.4,336400
1996-12-01,79.7144,300179,1.25,1.4,353500
1997-01-01,79.8239,300765,1.25,1.4,339000
1997-02-01,80.7816,310604,1.22,1.37,320750
1997-03-01,81.3388,307465,1.24,1.37,319400
1997-04-01,81.3611,313694,1.25,1.36,327000
1997-05-01,81.8326,308733,1.25,1.38,323800
1997-06-01,82.2309,315090,1.27,1.36,325500
1997-07-01,82.85,318485,1.26,1.35,320250
1997-08-01,83.7172,319106,1.27,1.36,330200
1997-09-01,84.4629,318687,1.26,1.36,315250
1997-10-01,85.1968,319565,1.27,1.37,310000
1997-11-01,85.9458,334896,1.28,1.34,314600
1997-12-01,86.2054,315121,1.3,1.36,313250
1998-01-01,86.6558,315893,1.29,1.39,321200
1998-02-01,86.7556,322715,1.3,1.36,319000
1998-03-01,86.8196,317454,1.3,1.37,315000
1998-04-01,87.1345,320388,1.3,1.39,311000
1998-05-01,87.6936,320787,1.31,1.38,311200
1998-06-01,87.1421,311219,1.32,1.41,338000
1998-07-01,86.8414,308769,1.31,1.43,333000
1998-08-01,88.6266,318026,1.33,1.39,312600
1998-09-01,88.4562,319546,1.33,1.38,304000
1998-10-01,89.1686,315959,1.33,1.38,310600
1998-11-01,89.1127,319291,1.33,1.38,316000
1998-12-01,89.4388,315467,1.33,1.37,316000
1999-01-01,89.8617,324278,1.34,1.35,326200
1999-02-01,90.3253,324617,1.33,1.34,301500
1999-03-01,90.4709,322604,1.32,1.37,302750
1999-04-01,90.7285,321414,1.31,1.36,308500
1999-05-01,91.3499,325581,1.29,1.34,301600
1999-06-01,91.199,323793,1.28,1.35,294000
1999-07-01,91.7767,330548,1.29,1.35,298000
1999-08-01,92.1675,332510,1.28,1.33,290750
1999-09-01,91.7812,333492,1.28,1.34,289500
1999-10-01,92.9976,341407,1.27,1.33,290400
1999-11-01,93.444,334281,1.28,1.34,281750
1999-12-01,94.1555,344248,1.27,1.34,278500
2000-01-01,94.1717,350725,1.27,1.31,288400
2000-02-01,94.4329,331991,1.29,1.37,293750
2000-03-01,94.7926,344182,1.28,1.34,274750
2000-04-01,95.4898,347917,1.29,1.32,271600
2000-05-01,95.6421,340085,1.29,1.35,282250
2000-06-01,95.7364,374700,1.28,1.34,291000
2000-07-01,95.5982,343351,1.29,1.35,295000
2000-08-01,95.3172,340728,1.3,1.38,312750
2000-09-01,95.6844,354557,1.29,1.34,300200
2000-10-01,95.3974,339610,1.29,1.38,301000
2000-11-01,95.4158,343578,1.3,1.39,334250
2000-12-01,95.1619,343858,1.29,1.37,346000
2001-01-01,94.5502,331600,1.29,1.41,340000
2001-02-01,93.9755,335205,1.3,1.38,371250
2001-03-01,93.7253,333486,1.32,1.39,387200
2001-04-01,93.4567,321890,1.33,1.42,396750
2001-05-01,92.8842,329643,1.33,1.38,394500
2001-06-01,92.3317,324044,1.34,1.39,397200
2001-07-01,91.8098,318401,1.32,1.39,398000
2001-08-01,91.6849,321838,1.31,1.36,398000
2001-09-01,91.3345,311821,1.32,1.38,435000
2001-10-01,90.9389,318537,1.33,1.37,480750
2001-11-01,90.4853,310008,1.31,1.36,447500
2001-12-01,90.515,311731,1.31,1.33,416800
2002-01-01,91.0881,307977,1.3,1.33,408500
2002-02-01,91.0698,316999,1.28,1.31,399000
2002-03-01,91.8012,316478,1.28,1.3,415400
2002-04-01,92.1815,318396,1.25,1.28,429250
2002-05-01,92.5668,321426,1.25,1.27,409000
2002-06-01,93.4503,316528,1.24,1.27,387200
2002-07-01,93.2282,320689,1.25,1.28,386000
2002-08-01,93.227,326461,1.24,1.27,393600
2002-09-01,93.3597,319504,1.24,1.27,409500
2002-10-01,93.0804,320422,1.25,1.28,407500
2002-11-01,93.5589,322471,1.23,1.27,392200
2002-12-01,93.1088,316598,1.26,1.3,414250
2003-01-01,93.6494,323759,1.23,1.28,395000
2003-02-01,93.9475,330124,1.23,1.27,411000
2003-03-01,93.735,331687,1.23,1.26,427400
2003-04-01,93.0815,321553,1.25,1.29,436250
2003-05-01,93.1002,323474,1.25,1.28,424000
2003-06-01,93.2544,329051,1.23,1.26,421750
2003-07-01,93.6579,328713,1.22,1.24,411500
2003-08-01,93.5162,330621,1.22,1.24,400200
2003-09-01,94.0695,335377,1.21,1.21,395500
2003-10-01,94.2091,342157,1.2,1.21,382000
2003-11-01,94.937,339402,1.2,1.2,363000
2003-12-01,94.8627,340757,1.19,1.2,358250
2004-01-01,95.1113,338304,1.2,1.2,360200
2004-02-01,95.6793,340207,1.18,1.2,360750
2004-03-01,95.2063,355271,1.15,1.17,342000
2004-04-01,95.6346,349024,1.15,1.18,348250
2004-05-01,96.3952,351099,1.16,1.18,336200
2004-06-01,95.6045,354754,1.17,1.19,349000
2004-07-01,96.3379,355694,1.18,1.2,343000
2004-08-01,96.4107,356094,1.18,1.19,340750
2004-09-01,96.4943,361198,1.18,1.19,337250
2004-10-01,97.4107,364886,1.18,1.17,334000
2004-11-01,97.6207,372999,1.18,1.18,328750
2004-12-01,98.3284,373388,1.17,1.17,325250
2005-01-01,98.7904,378556,1.18,1.16,343400
2005-02-01,99.455,382163,1.18,1.18,311750
2005-03-01,99.3156,374579,1.19,1.19,332000
2005-04-01,99.4648,385622,1.18,1.17,323200
2005-05-01,99.597,394996,1.19,1.18,327000
2005-06-01,99.9838,399983,1.19,1.18,325750
2005-07-01,99.6737,386956,1.18,1.19,324400
2005-08-01,99.9451,401643,1.17,1.16,315750
2005-09-01,98.0824,404452,1.15,1.14,382750
2005-10-01,99.3185,410185,1.14,1.15,352200
2005-11-01,100.3282,422055,1.16,1.15,317250
2005-12-01,100.9458,421941,1.16,1.14,316400
2006-01-01,101.0637,415014,1.15,1.15,295750
2006-02-01,101.0761,421144,1.16,1.16,290750
2006-03-01,101.2742,430682,1.16,1.16,301750
2006-04-01,101.6854,418040,1.17,1.19,303600
2006-05-01,101.5801,422926,1.16,1.18,332750
2006-06-01,101.9746,426866,1.16,1.19,305500
2006-07-01,101.9374,417235,1.17,1.22,318800
2006-08-01,102.3309,419456,1.17,1.21,314250
2006-09-01,102.1204,437719,1.19,1.24,316200
2006-10-01,102.0653,416052,1.2,1.26,315500
2006-11-01,101.9538,425923,1.21,1.25,326250
2006-12-01,103.026,438392,1.18,1.22,324000
2007-01-01,102.4915,423947,1.2,1.25,317250
2007-02-01,103.5443,432754,1.18,1.23,322750
2007-03-01,103.7537,441860,1.18,1.22,309400
2007-04-01,104.5018,444487,1.16,1.22,320250
2007-05-01,104.5419,444333,1.16,1.22,304250
2007-06-01,104.5669,447278,1.16,1.22,315200
2007-07-01,104.5217,452494,1.17,1.22,313250
2007-08-01,104.7387,452122,1.16,1.22,320000
2007-09-01,105.1499,450499,1.16,1.22,313400
2007-10-01,104.7167,458582,1.15,1.21,328250
2007-11-01,105.3037,468505,1.14,1.2,336000
2007-12-01,105.353,479323,1.16,1.22,348200
2008-01-01,105.073,476125,1.15,1.22,338750
2008-02-01,104.7137,471143,1.16,1.23,346750
2008-03-01,104.4635,470562,1.15,1.24,363400
2008-04-01,103.6727,476153,1.15,1.21,359500
2008-05-01,103.085,479672,1.13,1.21,366800
2008-06-01,102.8361,485082,1.12,1.2,383250
2008-07-01,102.2939,479777,1.14,1.2,398000
2008-08-01,100.7209,467035,1.18,1.24,433000
2008-09-01,96.3567,450840,1.2,1.26,464000
2008-10-01,97.2844,420981,1.24,1.31,475250
2008-11-01,96.0552,388321,1.35,1.39,519800
2008-12-01,93.252,364831,1.38,1.43,564000
2009-01-01,91.0332,345936,1.41,1.46,572000
2009-02-01,90.4375,341137,1.37,1.43,644000
2009-03-01,89.0085,331087,1.39,1.46,659250
2009-04-01,88.2959,331198,1.36,1.47,627750
2009-05-01,87.4078,340837,1.33,1.45,612000
2009-06-01,87.0694,344268,1.3,1.4,598250
2009-07-01,88.0285,351133,1.26,1.39,566500
2009-08-01,89.0244,356089,1.23,1.36,559200
2009-09-01,89.6975,359916,1.21,1.33,547500
2009-10-01,89.9906,368515,1.2,1.32,525400
2009-11-01,90.3515,370234,1.19,1.31,494000
2009-12-01,90.6212,370157,1.17,1.29,485500
2010-01-01,91.6849,394571,1.16,1.28,479800
2010-02-01,92.0073,391039,1.15,1.3,485750
2010-03-01,92.6104,397739,1.14,1.28,470250
2010-04-01,92.96,403004,1.12,1.27,469000
2010-05-01,94.2988,400866,1.13,1.28,459400
2010-06-01,94.4319,402604,1.14,1.29,460500
2010-07-01,94.836,405776,1.14,1.28,459200
2010-08-01,95.1423,407607,1.15,1.28,475000
2010-09-01,95.35,421195,1.17,1.28,453500
2010-10-01,95.0991,420560,1.16,1.28,446800
2010-11-01,95.1376,425221,1.15,1.29,426250
2010-12-01,96.0339,430950,1.16,1.28,420250
2011-01-01,95.9363,445415,1.13,1.27,426800
2011-02-01,95.5147,438395,1.15,1.28,401500
2011-03-01,96.4651,459773,1.13,1.26,406000
2011-04-01,96.1325,455874,1.13,1.27,420600
2011-05-01,96.3347,456515,1.16,1.3,422500
2011-06-01,96.5889,454040,1.17,1.29,418250
2011-07-01,97.1011,463792,1.16,1.29,412600
2011-08-01,97.6642,465964,1.15,1.29,409500
2011-09-01,97.6132,461469,1.15,1.29,417750
2011-10-01,98.2931,462094,1.15,1.29,402400
2011-11-01,98.2325,472617,1.16,1.3,389250
2011-12-01,98.7699,481078,1.16,1.29,377000
2012-01-01,99.3672,478845,1.14,1.29,377750
2012-02-01,99.6443,483050,1.15,1.29,363250
2012-03-01,99.1594,478211,1.15,1.29,366600
2012-04-01,99.9173,474054,1.14,1.29,381750
2012-05-01,100.0956,470242,1.16,1.29,373500
2012-06-01,100.0478,464493,1.18,1.31,379200
2012-07-01,100.3144,475317,1.2,1.31,372500
2012-08-01,99.9036,456726,1.19,1.31,373250
2012-09-01,99.8944,475291,1.18,1.31,381800
2012-10-01,100.1192,478892,1.19,1.31,368500
2012-11-01,100.61,476660,1.18,1.3,401250
2012-12-01,100.9267,488781,1.19,1.3,359000
2013-01-01,100.8779,478912,1.19,1.3,353000
2013-02-01,101.4265,496526,1.17,1.28,353000
2013-03-01,101.8186,468404,1.19,1.3,351800
2013-04-01,101.695,475817,1.2,1.31,347250
2013-05-01,101.7517,487158,1.18,1.3,347750
2013-06-01,101.9486,495664,1.18,1.3,344600
2013-07-01,101.446,478068,1.19,1.3,346000
2013-08-01,102.1758,480373,1.18,1.29,333400
2013-09-01,102.6774,490702,1.19,1.3,314000
2013-10-01,102.5438,484759,1.19,1.3,358500
2013-11-01,102.8625,498159,1.19,1.27,328200
2013-12-01,103.1747,493660,1.19,1.29,346000
2014-01-01,102.7053,484203,1.21,1.3,326250
2014-02-01,103.6016,495303,1.21,1.29,337500
2014-03-01,104.5893,494176,1.2,1.29,322800
2014-04-01,104.7423,499762,1.2,1.3,324000
2014-05-01,105.0571,492220,1.2,1.31,314600
2014-06-01,105.4084,498302,1.2,1.3,314500
2014-07-01,105.5609,550900,1.2,1.3,301750
2014-08-01,105.4797,495879,1.21,1.3,301200
2014-09-01,105.7908,492724,1.21,1.31,293750
2014-10-01,105.8154,482564,1.23,1.32,287750
2014-11-01,106.663,475559,1.24,1.34,292000
2014-12-01,106.5032,465208,1.26,1.34,284000
2015-01-01,105.8772,458423,1.3,1.38,288000
2015-02-01,105.4193,453851,1.32,1.38,303000
2015-03-01,105.0856,460386,1.33,1.37,285500
2015-04-01,104.5604,460085,1.31,1.38,287000
2015-05-01,104.0675,452438,1.31,1.38,275000
2015-06-01,103.6891,463363,1.32,1.38,275250
2015-07-01,104.2443,461656,1.32,1.39,276750
2015-08-01,104.1318,453589,1.33,1.39,274200
2015-09-01,103.7281,446084,1.33,1.4,267250
2015-10-01,103.3569,448296,1.33,1.41,266000
2015-11-01,102.7323,445578,1.35,1.41,269000
2015-12-01,102.2696,438180,1.36,1.44,271500
2016-01-01,103.0314,439947,1.37,1.43,280200
2016-02-01,102.3429,428110,1.38,1.44,269750
2016-03-01,101.5415,432259,1.37,1.43,266500
2016-04-01,101.7479,445447,1.37,1.42,266400
2016-05-01,101.6011,440091,1.36,1.42,275750
2016-06-01,101.9476,430827,1.34,1.41,267000
2016-07-01,102.1435,437963,1.34,1.41,260000
2016-08-01,102.0654,441488,1.33,1.41,262000
2016-09-01,101.9304,441164,1.34,1.4,248750
2016-10-01,102.0557,452839,1.33,1.4,254800
2016-11-01,101.8293,441624,1.34,1.41,248500
2016-12-01,102.7877,452020,1.32,1.37,252000
2017-01-01,102.5393,452669,1.3,1.38,247500
2017-02-01,102.1574,451278,1.3,1.38,242250
2017-03-01,102.7236,456826,1.31,1.38,252500
2017-04-01,103.7148,460218,1.3,1.38,243600
2017-05-01,103.7121,456386,1.31,1.37,241250
2017-06-01,103.771,472844,1.31,1.38,243250
2017-07-01,103.6206,456800,1.32,1.38,243800
2017-08-01,103.1956,464236,1.3,1.37,238250
2017-09-01,103.176,477569,1.29,1.37,265400
2017-10-01,104.7647,470338,1.28,1.37,234750
2017-11-01,105.2943,479664,1.27,1.35,241250
2017-12-01,105.7698,488343,1.26,1.36,239200
2018-01-01,105.4371,480449,1.29,1.35,234000
2018-02-01,105.9166,490295,1.29,1.36,223000
2018-03-01,106.4488,498443,1.29,1.35,228600
2018-04-01,107.6624,496409,1.27,1.35,221500
2018-05-01,106.7781,498401,1.25,1.35,222750
2018-06-01,107.464,501612,1.25,1.34,224200
2018-07-01,107.9076,498925,1.26,1.35,214750
2018-08-01,108.7851,511974,1.26,1.34,212250
2018-09-01,108.9526,515334,1.26,1.33,206600
2018-10-01,109.0654,NA,NA,NA,213666.666666667
2018-11-01,NA,NA,NA,NA,219666.666666667
